,Date,Day,Description,str_date
0,"February 26, 2025",Wednesday,Mahashivratri,2025-02-26
1,"March 14, 2025",Friday,Holi,2025-03-14
2,"March 31, 2025",Monday,Eid-Ul-Fitr (Ramadan Eid),2025-03-31
3,"April 10, 2025",Thursday,Shri Mahavir Jayanti,2025-04-10
4,"April 14, 2025",Monday,Dr. Baba Saheb Ambedkar Jayanti,2025-04-14
5,"April 18, 2025",Friday,Good Friday,2025-04-18
6,"May 01, 2025",Thursday,Maharashtra Day,2025-05-01
7,"August 15, 2025",Friday,Independence Day,2025-08-15
8,"August 27, 2025",Wednesday,Ganesh Chaturthi,2025-08-27
9,"October 02, 2025",Thursday,Mahatma Gandhi Jayanti/Dussehra,2025-10-02
10,"October 21, 2025",Tuesday,Diwali Laxmi Pujan*,2025-10-21
11,"October 22, 2025",Wednesday,Diwali-Balipratipada,2025-10-22
12,"November 05, 2025",Wednesday,Prakash Gurpurb Sri Guru Nanak Dev,2025-11-05
13,"December 25, 2025",Thursday,Christmas,2025-12-25
