ISIN,Industry,Ticker
INE466L01038,Financial Services,NSE:360ONE-EQ
INE470A01017,Diversified,NSE:3MINDIA-EQ
INE117A01022,Capital Goods,NSE:ABB-EQ
INE012A01025,Construction Materials,NSE:ACC-EQ
INE212H01026,Capital Goods,NSE:AIAENG-EQ
INE702C01027,Capital Goods,NSE:APLAPOLLO-EQ
INE949L01017,Financial Services,NSE:AUBANK-EQ
INE769A01020,Chemicals,NSE:AARTIIND-EQ
INE216P01012,Financial Services,NSE:AAVAS-EQ
INE358A01014,Healthcare,NSE:ABBOTINDIA-EQ
INE731H01025,Capital Goods,NSE:ACE-EQ
INE931S01010,Power,NSE:ADANIENSOL-EQ
INE423A01024,Metals & Mining,NSE:ADANIENT-EQ
INE364U01010,Power,NSE:ADANIGREEN-EQ
INE742F01042,Services,NSE:ADANIPORTS-EQ
INE814H01011,Power,NSE:ADANIPOWER-EQ
INE399L01023,Oil Gas & Consumable Fuels,NSE:ATGL-EQ
INE699H01024,Fast Moving Consumer Goods,NSE:AWL-EQ
INE674K01013,Financial Services,NSE:ABCAPITAL-EQ
INE647O01011,Consumer Services,NSE:ABFRL-EQ
INE208C01025,Oil Gas & Consumable Fuels,NSE:AEGISLOG-EQ
INE0BWX01014,Chemicals,NSE:AETHER-EQ
INE00WC01027,Information Technology,NSE:AFFLE-EQ
INE031B01049,Healthcare,NSE:AJANTPHARM-EQ
INE901L01018,Healthcare,NSE:APLLTD-EQ
INE540L01014,Healthcare,NSE:ALKEM-EQ
INE150B01039,Chemicals,NSE:ALKYLAMINE-EQ
INE418H01029,Services,NSE:ALLCARGO-EQ
INE270A01029,Textiles,NSE:ALOKINDS-EQ
INE885A01032,Automobile and Auto Components,NSE:ARE&M-EQ
INE371P01015,Consumer Durables,NSE:AMBER-EQ
INE079A01024,Construction Materials,NSE:AMBUJACEM-EQ
INE463V01026,Financial Services,NSE:ANANDRATHI-EQ
INE732I01013,Financial Services,NSE:ANGELONE-EQ
INE930P01018,Chemicals,NSE:ANURAS-EQ
INE372A01015,Capital Goods,NSE:APARINDS-EQ
INE437A01024,Healthcare,NSE:APOLLOHOSP-EQ
INE438A01022,Automobile and Auto Components,NSE:APOLLOTYRE-EQ
INE852O01025,Financial Services,NSE:APTUS-EQ
INE128X01021,Chemicals,NSE:ACI-EQ
INE439A01020,Automobile and Auto Components,NSE:ASAHIINDIA-EQ
INE208A01029,Capital Goods,NSE:ASHOKLEY-EQ
INE021A01026,Consumer Durables,NSE:ASIANPAINT-EQ
INE914M01019,Healthcare,NSE:ASTERDM-EQ
INE203A01020,Healthcare,NSE:ASTRAZEN-EQ
INE006I01046,Capital Goods,NSE:ASTRAL-EQ
INE100A01010,Chemicals,NSE:ATUL-EQ
INE406A01037,Healthcare,NSE:AUROPHARMA-EQ
INE871C01038,Fast Moving Consumer Goods,NSE:AVANTIFEED-EQ
INE192R01011,Consumer Services,NSE:DMART-EQ
INE238A01034,Financial Services,NSE:AXISBANK-EQ
INE258A01016,Capital Goods,NSE:BEML-EQ
INE153T01027,Consumer Services,NSE:BLS-EQ
INE118H01025,Financial Services,NSE:BSE-EQ
INE917I01010,Automobile and Auto Components,NSE:BAJAJ-AUTO-EQ
INE296A01024,Financial Services,NSE:BAJFINANCE-EQ
INE918I01026,Financial Services,NSE:BAJAJFINSV-EQ
INE118A01012,Financial Services,NSE:BAJAJHLDNG-EQ
INE050E01027,Chemicals,NSE:BALAMINES-EQ
INE787D01026,Automobile and Auto Components,NSE:BALKRISIND-EQ
INE119A01028,Fast Moving Consumer Goods,NSE:BALRAMCHIN-EQ
INE545U01014,Financial Services,NSE:BANDHANBNK-EQ
INE028A01039,Financial Services,NSE:BANKBARODA-EQ
INE084A01016,Financial Services,NSE:BANKINDIA-EQ
INE457A01014,Financial Services,NSE:MAHABANK-EQ
INE176A01028,Consumer Durables,NSE:BATAINDIA-EQ
INE462A01022,Chemicals,NSE:BAYERCROP-EQ
INE463A01038,Consumer Durables,NSE:BERGEPAINT-EQ
INE171Z01026,Capital Goods,NSE:BDL-EQ
INE263A01024,Capital Goods,NSE:BEL-EQ
INE465A01025,Automobile and Auto Components,NSE:BHARATFORG-EQ
INE257A01026,Capital Goods,NSE:BHEL-EQ
INE029A01011,Oil Gas & Consumable Fuels,NSE:BPCL-EQ
INE397D01024,Telecommunication,NSE:BHARTIARTL-EQ
INE00E101023,Fast Moving Consumer Goods,NSE:BIKAJI-EQ
INE376G01013,Healthcare,NSE:BIOCON-EQ
INE340A01012,Construction Materials,NSE:BIRLACORPN-EQ
INE836A01035,Information Technology,NSE:BSOFT-EQ
INE233B01017,Services,NSE:BLUEDART-EQ
INE472A01039,Consumer Durables,NSE:BLUESTARCO-EQ
INE050A01025,Fast Moving Consumer Goods,NSE:BBTC-EQ
